Model Name,Release Year,Color,Series
'67 Custom Mustang,2012,Silver Over Black,Treasure Hunts '12
'52 Chevy,2012,Plum Metalflake,Treasure Hunts '12
Ferrari 430 Scuderia,2012,Red,Treasure Hunts '12
'65 Chevy Malibu,2012,Metalflake Green,Treasure Hunts '12
Ford Shelby GR-1 Concept,2012,Yellow,Treasure Hunts '12
'65 Ford Ranchero,2012,Metallic Green,Treasure Hunts '12
Surf Crate,2012,Lime Green,Treasure Hunts '12
'92 Ford Mustang,2012,Pearl Turqouise,Treasure Hunts '12
'70 Chevy Chevelle Convertible,2012,Orange,Treasure Hunts 12
Scorcher,2012,Dark Olive,Track Stars '12
Scorcher,2012,Red,Mystery Models
Open Road-ster,2012,Light Matte Blue,Track Stars 12
Open Road-ster,2012,Blue,12 Track Aces
Open Road-ster,2012,Red,Mystery Models
Circle Trucker,2012,Black,Track Stars 12
24 Ours,2012,Red,Track Stars 12
Impavido 1,2012,Red,HW Racing - Track Stars
Retro-Active,2012,Matte Magenta,Track Stars 12
Draggin' Tail,2012,Lime Green,Track Stars 12
Fast Cash,2012,Red,Track Stars 12
Nitro Doorslammer,2012,Orange,Track Stars 12
Solar Reflex,2012,Chrome,Multipack Exclusive
Solar Reflex,2012,Blue,Track Stars 12
Split Vision,2012,Pearl White With Red,Track Stars 12
Motoblade,2012,Clear Red And Metalflake Black,Team High-Speed Wheel
Motoblade,2012,Clear Red And Metalflake Black,Team High-Speed Wheel
Motoblade,2012,Clear Blue And Yellow,Track Stars 12
Nerve Hammer,2012,Translucent Yellow,Track Stars
Nerve Hammer,2012,Gray,Super Speeders
Scoopa Di Fuego,2012,Metalflake Purple,Track Stars 12
Torque Twister,2012,Yellow,Track Stars 12
Torque Twister,2012,Matte Black,Team High-Speed Wheel
'68 Dodge Dart,2012,Red,Muscle Mania - Mopar 12
'68 Dodge Dart,2012,Metallic Gray,Muscle Mania - Mopar 12
'68 Dodge Dart,2012,Metallic Dark Blue,Muscle Mania - Mopar 12
'71 Dodge Challenger,2012,Metalflake Teal,Muscle Mania - Mopar '12
'71 Dodge Challenger,2012,Spectraflame Teal,Muscle Mania - Mopar '12
'71 Dodge Challenger,2012,Metalflake Orange,Muscle Mania - Mopar '12
'70 Dodge Charger R/T,2012,Lime Green,Muscle Mania - Mopar 12
'69 Dodge Coronet Super Bee,2012,Metallic Orange,Muscle Mania - Mopar '12
'69 Dodge Coronet Super Bee,2012,Spectraflame Orange,Muscle Mania - Mopar '12
'69 Dodge Coronet Super Bee,2012,Pearl Purple,Muscle Mania - Mopar '12
'71 Dodge Charger,2012,Red,Muscle Mania - Mopar 12
'67 Plymouth GTX,2012,Metallic Copper,Muscle Mania - Mopar '12
'67 Plymouth GTX,2012,Metallic Purple,Muscle Mania - Mopar '12
'68 Hemi Barracuda,2012,Metallic Green,Muscle Mania - Mopar '12
'68 Hemi Barracuda,2012,Metallic Magenta,Muscle Mania - Mopar '12
'68 Hemi Barracuda,2012,Pearl Light Blue,Muscle Mania - Mopar '12
'70 Plymouth Superbird,2012,Metallic Purple,Muscle Mania - Mopar 12
'70 Plymouth Superbird,2012,Lime Green,Muscle Mania - Mopar 12
'70 Plymouth Roadrunner,2012,Yellow,Muscle Mania - Mopar
'70 Plymouth Road Runner,2012,Lime Green,Muscle Mania - Mopar '12
'70 Plymouth AAR Cuda,2012,Pearl Pink,Muscle Mania - Mopar 12
'70 Plymouth AAR Cuda,2012,Metallic Blue,Muscle Mania - Mopar 12
'70 Plymouth AAR Cuda,2012,Metalflake Gray,Boulevard - Legends
2010 Chevy Impala,2012,Green,Faster Than Ever '12
2010 Chevy Impala,2012,Yellow,Faster Than Ever '12
Datsun Bluebird 510,2012,Red,Faster Than Ever '12
Datsun Bluebird 510,2012,Metalflake Light Blue,Faster Than Ever '12
Hammerhead,2012,Metalflake Brown,Mystery Models
Hammerhead,2012,Yellow,Faster Than Ever 12
'10 Infiniti G37,2012,Black,Faster Than Ever 12
'10 Infiniti G37,2012,White,Faster Than Ever 12
'10 Ford Shelby GT-500 Super Snake,2012,Black,Faster Than Ever 12
'10 Ford Shelby GT-500 Super Snake,2012,Teal,Faster Than Ever 12
Mazda Furai,2012,White,Faster Than Ever 12
Dodge Charger Drift,2012,White,Faster Than Ever 12
Dodge Charger Drift Car,2012,Orange,Police Pursuit 5-Pack (2012)
Ford GTX-1,2012,Pearl White,Faster Than Ever 12
Ford GTX-1,2012,Red,Faster Than Ever 12
Ford GTX-1,2012,Metalflake Yellow,Boulevard - Concept Cars
Aston Martin DBS,2012,Metalflake Maroon,Faster Than Ever 12
Aston Martin DBS,2012,Metalflake Teal,Faster Than Ever 12
'09 Cadillac CTS-V,2012,Metalic Orange,Faster Than Ever 12
Cadillac CTS-V,2011,Pearl White Metalflake,Holiday Hot Rods
'67 Oldsmobile 442,2012,Metallic Pearl White,Muscle Mania - GM 12
'67 Oldsmobile 442,2012,Metallic Orange,Muscle Mania - GM 12
'68 COPO Camaro,2012,Green,Muscle Mania - GM 12
'68 COPO Camaro,2012,Red,Muscle Mania - GM 12
'68 COPO Camaro,2012,Gray,Mystery Models
'62 Chevy Bubble Top,2012,Metallic Dark Blue,Muscle Mania - GM 12
'62 Chevy Bubble Top,2012,Metallic Gold,Muscle Mania - GM 12
'62 Chevy Bubble Top,2012,Metallic Gold,Muscle Mania - GM 12
'70 Pontiac GTO Judge,2012,Metallic Dark Blue,Muscle Mania - GM 12
'70 Pontiac GTO Judge,2012,Metallic Red,Muscle Mania - GM 12
'67 Pontiac Firebird 400,2012,Metallic Yellow,Muscle Mania - GM '12
'67 Pontiac Firebird 400,2012,Metallic Pink,Muscle Mania - GM '12
'66 Chevy Nova,2012,Metallic Steel Blue,Muscle Mania - GM 12
'66 Chevy Nova,2012,Metallic Red,Muscle Mania - GM 12
'66 Chevy Nova,2012,Lime Green,Muscle Mania - GM 12
'70 Monte Carlo,2012,Metallic Gold,Muscle Mania - GM 12
'70 Monte Carlo,2012,Metallic Silver,Muscle Mania - GM 12
'70 Monte Carlo,2012,Metalflake Pearl Purple,Muscle Mania - GM 12
'69 Camaro,2012,Metalflake Black,Muscle Mania - GM '12
'69 Camaro,2012,Spectraflame Black,Muscle Mania - GM '12
'69 Camaro,2012,Metallic Blue,Muscle Mania - GM '12
'70 Buick GSX,2012,Metallic Maroon,Muscle Mania - GM 12
'70 Buick GSX,2012,Metalflake Dark Blue,HW SHOWROOM
'67 Chevelle SS 396,2012,Metalflake Red,Muscle Mania - GM '12
'67 Chevelle SS 396,2012,Spectraflame Red,Muscle Mania - GM '12
'67 Chevelle SS 396,2012,Metallic Green,Muscle Mania - GM '12
'69 Ford Torino Talladega,2012,Black,Muscle Mania - Ford 12
'66 Ford 427 Fairlane,2012,Metallic Green,Muscle Mania - Ford '12
'66 Ford 427 Fairlane,2012,Spectraflame Green,Muscle Mania - Ford 12
'66 Ford 427 Fairlane,2012,Metalflake Copper,Muscle Mania - Ford 12
Custom '64 Galaxie 500,2012,Orange,Muscle Mania - Ford '12
Custom '64 Galaxie 500,2012,Metallic Blue,Muscle Mania - Ford '12
Custom '64 Galaxie 500,2012,Metallic Antifreeze,Muscle Mania '12
'67 Shelby GT-500,2011,Metalflake Gold,Multipack Exclusive
'67 Shelby GT-500,2012,Pearl White,Muscle Mania - Ford '12
'67 Shelby GT-500,2012,Metallic Red,Muscle Mania - Ford 12
Ford Thunderbolt,2012,Metallic Aqua,Muscle Mania - Ford 12
Ford Thunderbolt,2012,Pink,Muscle Mania - Ford 12
'67 Ford Mustang Coupe,2012,Metallic Copper,Muscle Mania - Ford 12
'67 Ford Mustang Coupe,2012,Spectraflame Copper,Muscle Mania - Ford 12
'67 Ford Mustang Coupe,2012,Metallic Green,Muscle Mania - Ford 12
'72 Ford Gran Torino Sport,2012,Green,Muscle Mania - Ford '12
'72 Ford Gran Torino Sport,2012,Green,Muscle Mania - Ford 12
'72 Ford Gran Torino Sport,2012,Metallic Orange,Muscle Mania - Ford '12
'72 Ford Gran Torino Sport,2012,Yellow,Muscle Mania - Ford '12
'72 Ford Gran Torino Sport,2012,Light Blue Pearl Metalflake,Super Speeders
'70 Ford Mustang Mach I,2012,Metallic Red,Muscle Mania - Ford 12
'70 Ford Mustang Mach I,2012,Metallic Silver,Muscle Mania - Ford 12
'68 Mercury Cougar,2012,Metallic Blue,Muscle Mania - Ford '12
'68 Mercury Cougar,2012,Metallic Blue,Muscle Mania - Ford '12
'65 Volkswagen Fastback,2010,Metallic Royal Blue,Phil's Garage
'68 Mercury Cougar,2012,Metallic Green,Muscle Mania - Ford '12
'68 Mercury Cougar,2012,Orange,Muscle Mania - Ford '12
'73 Ford Falcon XB,2012,Metallic Purple,Muscle Mania - Ford 12
'73 Ford Falcon XB,2012,Red,Muscle Mania - Ford 12
'73 Ford Falcon XB,2012,Spectraflame Purple,Muscle Mania - Ford 12
'73 Ford Falcon XB,2012,Metalflake Green,Mystery Models
Lamborghini Reventón,2012,Matte Burnt Orange,HW All Stars 12
Lamborghini Reventón,2012,Yellow,HW All Stars 12
Megane Trophy,2012,Purple,HW All Stars '12
Megane Trophy,2012,Metaflake Dark Red,HW All Stars 12
Aston Martin One-77,2012,White,HW All Stars 12
Aston Martin One-77,2012,Metalflake Maroon,HW All Stars 12
Aston Martin One-77,2012,Metalflake Gray,HW All Stars 12
Aston Martin One-77,2012,Metalflake Gray,HW All Stars 12
Porsche 911 GT2,2012,Metalflake Blue,HW All Stars 12
Porsche 911 GT2,2012,Yellow,HW All Stars 12
Porsche 911 GT2,2010,Black,Speed Machines
Ferrari 599XX,2012,Red,HW All Stars '12
Ferrari 599XX,2012,Spectraflame Red,HW All Stars '12
Lamborghini Gallardo LP 570-4 Superleggera,2012,Royal Blue,HW All Stars '12
Lamborghini Gallardo LP 570-4 Superleggera,2012,Metalflake Gray,HW All Stars '12
Ferrari California,2012,Pearl White,HW All Stars '12
Ferrari California,2012,Metalflake Gray,HW All Stars '12
Lamborghini Estoque,2012,Metalflake Yellow,HW All Stars 12
Lamborghini Estoque,2012,Orange,HW All Stars 12
Lamborghini Estoque,2012,Metalflake White,Mystery Models
'09 Ford Focus RS,2012,Bright Red,HW All Stars '12
'09 Ford Focus RS,2012,Spectraflame Dark Red,HW All Stars 12
Ferrari 458 Italia,2012,Pearl White,HW All Stars 12
Ferrari 458 Italia,2012,Red,HW All Stars 12
'10 Camaro SS,2012,White,HW City Works '12
'10 Camaro SS,2012,Matte Blue,HW City Works '12
'70 Chevelle SS Wagon,2012,Orange,HW City Works 12
'70 Chevelle SS Wagon,2012,Spectraflame Dark Burnt Orange,HW City Works 12
Diesel Duty,2012,Teal,HW City Works '12
Diesel Duty,2012,Red,HW City Works '12
Mad Propz,2012,Red,HW City Works 12
Mad Propz,2012,Olive,HW City Works 12
Combat Medic,2012,Orange,HW City Works 12
Combat Medic,2012,Pink,HW City Works 12
Surfin' School Bus,2012,Metalflake Silver,HW City Works '12
Bad Bagger,2012,Metalflake Teal,HW City Works 12
Bad Bagger,2012,Metalflake Purple,HW City Works 12
Fast Gassin',2012,Red,HW City Works 12
Fast Gassin',2012,Blue,HW City Works 12
Fast Gassin,2012,Blue,Nostalgic Brands - Atari
'47 Chevy Fleetline,2012,Yellow,HW City Works '12
'47 Chevy Fleetline,2012,Aqua,HW City Works '12
Custom '69 Chevy Pickup,2012,Matte Green,HW City Works '12
Custom '69 Chevy,2012,Matte Blue,HW City Works 12
Custom '69 Chevy,2012,Matte Blue,HW City Works 12
Honda S2000,2012,Dark Blue,HW Performance-Treasure Hunt
Honda S2000,2012,Matte Blue,HW Performance 12
Honda S2000,2012,Matte Blue,HW Performance 12
Honda S2000,2012,Dark Red,HW Performance 12
'49 Drag Merc,2012,Yellow,HW Performance 12
