Model Name,Release Year,Color,Series
Big Rig,1999,Bright Metallic Yellow,Race Team Crew 5 Pak
Big Rig,1999,Metallic Black,Final Run
Big Sur-Prize,1991,Neon Pink,Super California Custom
Billboard Truck,2006,Spectraflame Red,RLC
Billboard Truck,2008,Spectraflame Blue,8th Annual Nationals Convention
Black Lightning,1985,Black,1985 Real Riders
Black Lightning,1987,Black,1987 Hot Wheels
Blast Lane,2000,Metalflake Orange,2000 First Editions
Blast Lane,2001,Metalflake Gold,2001 Treasure Hunt Series
Blast Lane,2001,Black,Skull And Crossbones Series
Blast Lane,2001,Dark Blue,2001 Hot Wheels
Blast Lane,2001,White,Jiffy Lube Exclusive
Blast Lane,2001,Yellow,Jiffy Lube Exclusive
Blast Lane,2003,Gold,Mainline
Blast Lane,2003,Gold,"Highway 35, 35th Anniversary"
Blazer 4x4,1984,Black,1984 Hot Wheels
Blazer 4x4,1987,Black,Trailbusters
Blazer 4x4,1988,Olive,1988 Hot Wheels
Blazer 4x4,1990,Light Green,Park 'n Plates
Blazer 4x4,1989,Blue,1989 Hot Wheels
Blazer 4x4,1989,Blue,1989 Hot Wheels
Blazer 4x4,1996,Blue,1996 Hot Wheels
Blazer 4x4,1993,Pearl White,1993 Hot Wheels
Blazer 4x4,1994,White,World Cup 5-Pack
Blazer 4x4,1993,Gloss Grey,1993 Hot Wheels
Blazer 4x4,1996,Metalflake Dark Blue,1996 Hot Wheels
Blazer 4x4,1996,Metalflake Dark Blue,1996 Hot Wheels
Fuji Blimp,1992,White,1992 Hot Wheels
Blimp,1995,White,Photo Finish Series
Blimp,1997,Blue,Treasure Hunt Series
Blimp,1999,Black,1999 Hot Wheels
Blimp,2000,White,Virtual Collection Cars
Blimp,2002,Brown,Sports 5-Pack
Blimp,2001,Flour Orange,Pro Racing 2001
Blimp,2001,Blue,Pro Racing 2001
Blimp,2001,Yellow,Pro Racing 2001
Blimp,2001,Blue,Pro Racing 2001
Blimp,2001,Gold,Mainline
'80s Camaro,1984,Black,1984 Hot Wheels
'80s Camaro,1987,Metallic Blue,Turbotrax Turboglo Set
'80s Camaro,1988,Turquoise,1988 Hot Wheels
'80s Camaro,1989,Metallic Dark Red,1989 Hot Wheels
Toyota AE-86 Corolla,2013,White,City Rides - Nightburnerz
'80s Camaro,1989,Metallic Dark Red,1989 Hot Wheels
'80s Camaro,1989,Metallic Dark Red,1989 Hot Wheels
Blown Camaro,1990,Turquoise,1990 Hot Wheels
'80s Camaro,1990,Turquoise,1990 Hot Wheels
Blown Camaro,1990,Black,Limited Edition - Getty Gas Station Promo
Blown Camaro,1990,Black,Limited Edition - Getty Gas Station Promo
'80s Camaro,1990,White,California Customs
'80s Camaro,1990,White,California Customs
'80s Camaro,1992,Turquoise,1990 Hot Wheels
'80s Camaro,1992,Turquoise,1990 Hot Wheels
'80s Camaro,1992,Turquoise,1992 International
'80s Camaro,1992,Turquoise,1990 Hot Wheels
'80s Camaro,1992,Blue,Pro Circuit
'80s Camaro,1992,Blue,Pro Circuit Speedway Set
'80s Camaro,1992,Yellow,Pro Circuit
'80s Camaro,1993,White,Pro Circuit
'80s Camaro,1994,Purple-Pink,Color Changers
'80s Camaro,1995,White,Track System Gift Pack (5-Pack)
'80s Camaro,1996,White,Track Systems 5-Pack
'80s Camaro,1996,White,Track System Starter Set
'80s Camaro Z-28,1996,White,Splatter Paint Series
'80s Camaro,1996,White,Starter Play Set
'80s Camaro,1997,White,Camaro 5-Pack
'80s Camaro,1997,Yellow,30th Anniversary 4-Pack
'80s Camaro,1997,Metallic Dark Aqua,Camaro 5-Pack
'80s Camaro,1997,Yellow,Toys R Us 10-Pack
'80s Camaro,1998,Metallic Aqua,1998 Hot Wheels
'80s Camaro,1998,Black,Police Squad 5-Pack
'80s Camaro,1998,Black,Police Squad 5-Pack
'80s Camaro,1998,Metallic Purple,Bonus Car
Blown Camaro,1999,Metalflake Aqua,HW 1999
Camaro Z28,2000,Red,2000 Hot Wheels
'80s Camaro,2003,Metallic Orange,Flag Flyers 5-Pack
Blown Delivery,2010,Spectraflame Red,HWC Series 9
Blown Delivery,2011,Spectraflame Gold,2011 Collector Edition!
Blown Delivery,2011,Spectraflame Race Team Blue,2011 SELECTIONs Series
Blown Delivery,2011,Metalflake Green,Dream Halloween
Bone Beast / Cybertooth II,2004,White,Thunder Cycles
Boom Box,2003,Metalflake Maroon,2003 First Editions
Boom Box,2003,Metalflake Blue,2003 First Editions
Boom Box,2003,Metalflake Blue-Gray,2003 First Editions
Boss Hoss,1971,Spectraflame Red,Spoilers
Boss Hoss,1971,Spectraflame Blue,Spoilers
Boss Hoss,1971,Spectraflame Aqua,Spoilers
Boss Hoss,1971,Spectraflame Green,Spoilers
Boss Hoss,1971,Spectraflame Copper,Spoilers
Boss Hoss,1971,Spectraflame Orange,Spoilers
Boss Hoss,1971,Spectraflame Purple,Spoilers
Boss Hoss,1971,Spectraflame Rose,Spoilers
Boss Hoss,1971,Spectraflame Pink,Spoilers
Boss Hoss,1971,Spectraflame Aqua,Spoilers
Boss Hoss,1971,Spectraflame Olive,Spoilers
Boss Hoss,1971,Spectraflame Green,Spoilers
Boss Hoss,1971,Spectraflame Red,Spoilers
Boss Hoss,1971,Spectraflame Purple,Spoilers
Boss Hoss,1971,Spectraflame Dark Brown,Spoilers
Boss Hoss Silver Special,1970,Chrome,Club Kit
Boss Hoss Silver Special,1970,Chrome,Club Kit
Brabham Repco F1,1969,Spectraflame Red,Grand Prix
Brabham Repco F1,1969,Spectraflame Green,Grand Prix
Brabham Repco F1,1969,Spectraflame Aqua,Grand Prix
Brabham Repco F1,1969,Spectraflame Blue,Grand Prix
Brabham Repco F1,1969,Spectraflame Purple,Grand Prix
Brabham Repco F1,1969,Spectraflame Orange,Grand Prix
Brabham Repco F1,1969,Spectraflame Olive,Grand Prix
Brabham Repco F1,1969,Dark Green Enamel,Grand Prix
Brabham Repco F1,1969,Spectraflame Copper,Grand Prix
Brabham Repco F1,1969,Spectraflame Brown,Grand Prix
Breakaway Bucket,1974,Blue,1974 Hot Wheels
Bronco 4-Wheeler,1981,Black,1981 Hot Wheels
Bronco 4-Wheeler,1981,Black,1981 Hot Wheels
Bronco 4-Wheeler,1981,White,1981 Hot Wheels
Bronco 4-Wheeler,1982,Red,1982 Hot Wheels
Bronco 4-Wheeler,1982,White,Megaforce Series
Bronco 4-Wheeler,1982,White,Megaforce Series
Bronco 4-Wheeler,1983,Red,1983 Real Riders
Bronco 4-Wheeler,1985,Red,1985 Hot Wheels
Bronco 4-Wheeler,1987,White,1987 Hot Wheels
Bronco 4-Wheeler,1990,White,1990 Hot Wheels
Bronco 4-Wheeler,1990,White,1990 Hot Wheels
Bronco 4-Wheeler,1990,White,1990 Hot Wheels
Bronco 4-Wheeler,1990,White,1990 Hot Wheels
Bronco 4-Wheeler,1989,Turquoise,1989 Hot Wheels
Bronco 4-Wheeler,1993,Metallic Blue,Just Trucks 5-Pack
Bronco 4-Wheeler,1995,Metallic Blue,Ford 5-Pack
Bronco 4-Wheeler,1997,White,Farm Country 5-Pack
Bronco 4-Wheeler,1998,Red,1998 Hot Wheels
Bronco 4-Wheeler,1999,Black,Baja Blazers 5-Pack
Bronco 4-Wheeler,1999,Black,1999 Hot Wheels
Ford Bronco,2000,White,World Tour 5-Pack
Bronco 4-Wheeler,2001,Black,Harley-Davidson 5-Pack
Ford Bronco,2003,Metalflake Blue,Final Run
Bubble Gunner,1979,Magenta,1979 Hot Wheels
Bubble Gunner,1980,Light Green,1980 Hot Wheels
Bubble Gunner,1980,Light Green,1980 Hot Wheels
Bubble Gunner,1983,Yellow,Speed Machines
Bubble Gunner,2011,Pearl White,The Hot Ones
Bubble Gunner,2012,Pearl Pink,The Hot Ones
Bugatti Veyron,2003,Red,2003 First Editions
Bugeye,1971,Spectraflame Aqua,1971 Hot Wheels
Bugeye,1971,Spectraflame Blue,1971 Hot Wheels
Bugeye,1971,Spectraflame Green,1971 Hot Wheels
Bugeye,1971,Spectraflame Light Green,1971 Hot Wheels
Bugeye,1971,Spectraflame Magenta,1971 Hot Wheels
Bugeye,1971,Spectraflame Pink,1971 Hot Wheels
Bugeye,1971,Spectraflame Purple,1971 Hot Wheels
Bugeye,1971,Spectraflame Red,1971 Hot Wheels
Bugeye,1971,Spectraflame Yellow,1971 Hot Wheels
Buick Stocker,1991,Blue,Roses Department Store Promotional
Buick Stocker,1992,Blue,Roses Department Store Promotional
Buick Stocker,1996,Yellow,Heroes On Hot Wheels
Buick Stocker,1996,Yellow,Limited Edition - Hughes Family Markets 2-Pack
Buick Stocker,1997,Black,Police Chase Playset
Buick Stocker,1996,Purple & White,Cornet Paper Give-away
Buick Stocker,1996,Bright Yellow Pearl,1996 Hot Wheels
Buick Stocker,1996,Bright Yellow Pearl,1996 Hot Wheels
Buick Stocker,1996,Bright Yellow Pearl,1996 Hot Wheels
Buick Stocker,1997,Black,Racing Action Pack
Buick Wildcat,1993,Spectraflame Red W And Black Roof & Engine,Park 'n Plates
Buick Wildcat,1997,Red,1997 Hot Wheels
Buick Wildcat,1997,Silver,Treasure Hunt Series
Buick Wildcat,1998,Black,Tech Tones Series
Buick Wildcat,1999,Metallic Black W And Chrome Engine,Mystery Cars
Buick Wildcat,2000,Green,2000 Hot Wheels
Buick Wildcat,2002,Purple,Mainline
Buick Wildcat,2003,Silver,Raptor Blast 5-Pack
CAT Bulldozer,1980,Yellow,Workhorses
CAT Bulldozer,1986,Yellow,Workhorses
CAT Bulldozer,1998,Yellow,Action Machines
Bulldozer,1992,Yellow,1992 Hot Wheels
Rapid Transit,1982,White,1982 Hot Wheels
Rapid Transit,1982,White,1982 Hot Wheels
Rapid Transit,1982,White,1982 Hot Wheels
Team Bus (Rapid Transit),1986,Yellow,Workhorses
Rapid Transit,1988,Yellow,Pop 'n Play Set
Rapid Transit - Bus Boys,1993,White,Tattoo Machines
Rapid Transit - Bus Boys,1993,Yellow,Tattoo Machines
Buster Tank,2010,Blue,Battle Force 5
Buster The Bull,2000,Yellow,Crashers
Buzz Off,1974,Dark Blue,Flying Colors
Buzz Off,1974,Medium Blue,Flying Colors
Buzz Off,1976,Dark Blue,Flying Colors
Buzz Off,1977,Dark Blue,Flying Colors
Buzz Off,1977,Dark Blue,Unknown
Buzz Off,1977,Gold (chrome),Golden Machines
Buzz Off,1977,Gold (chrome),1977 Golden Machines
Buzz Off,1973,Fluorescent Pink,Series
Buzz Off,1973,Dark Blue,Series
Buzz Off,1973,FluorescentLime Green,Series
Buzz Off,1973,Lemon Yellow,Series
Buzz Off,1973,Light Blue,Series
Buzz Off,1973,Enamek Red,Series
Buzzkill,2010,Silver,Color Shifters Creatures
Buzzkill,2010,Black,Color Shifters Creatures
Bye Focal,1972,Spectraflame Aqua,Hot Wheels
Bye Focal,1972,Spectraflame Magenta,Hot Wheels
Bye Focal,1972,Spectraflame Light Green,Hot Wheels
Bye Focal,1972,Spectraflame Blue,Hot Wheels
Bye Focal,1972,Spectraflame Green,Hot Wheels
Bye Focal,1972,Spectraflame Red,Hot Wheels
Bye Focal,1972,Spectraflame Light Blue,Hot Wheels
Bye Focal,1972,Spectraflame Yellow,Hot Wheels
Bye Focal,1972,Spectraflame Purple,Hot Wheels
Bye Focal,1972,Spectraflame Green,Hot Wheels
Bye Focal,1972,Spectraflame Blue,Hot Wheels
Bye Focal,1972,Spectraflame Magenta,Hot Wheels
Bye Focal,1972,Spectraflame Aqua,Hot Wheels
Bye Focal,1972,Spectraflame Red,Hot Wheels
Bye Focal,2004,Chrome,Limited Edition - HWC Super Chromes Series 2
Bye Focal,2005,Spectraflame Pink,RLC Party
Bye Focal,2007,Spectraflame Light Blue,Limited Edition - RLC 2007 Selections Series
Bye Focal II,2012,Translucent Red,3-Pack
Bywayman,1980,White,Toys R Us
Bywayman,1985,Yellow,Stamper 3-Pack
Bywayman,1989,Maroon,1989 Hot Wheels
Bywayman,1989,Maroon,1989 Hot Wheels
Bywayman,1989,Black,1989 Hot Wheels
Bywayman,1991,White,Park 'n Plates
Bywayman,1991,White,Park 'n Plates
Bywayman,1991,White,Park 'n Plates
Bywayman,1992,Yellow,Getty Gas Station Promo
Bywayman,1993,Pearl White,1993 Hot Wheels
Bywayman,1993,Fluorescent Yellow,1993 Hot Wheels
Bywayman,1993,Fluorescent Yellow,1993 Hot Wheels
Bywayman,1995,White,Limited Edition - Dinty Moore Mail-In
Bywayman,1995,Black,Shell Gas Station Promotional
Bywayman,1995,Tinted Chrome,Racing Metals Series
Bywayman,1993,Pearl White,1993 Hot Wheels
Bywayman,1996,Metallic Blue,Race Team Series II
Bywayman,1996,Metallic Blue,Race Team Series II
Bywayman,1997,White,American Spirit 4-Pack
Path Beater,1997,Fluorescent Yellow,Hot Wheels
Bywayman,1998,Red,1998 Hot Wheels
Bywayman,1999,Tan,Baja Blazers 5-Pack
Power Plower,1999,Metallic Green,1999 Hot Wheels
Bywayman,2000,Metallic Purple,Attack Pack Series
Bywayman,2001,Metalflake Black,2001 Hot Wheels
Bywayman,2003,Brown,Final Run Series
Bywayman,2003,Matte Brown,Final Run Series
CAT Dump Truck,1980,Yellow,1980 Workhorses
CAT Dump Truck,1989,Yellow,Workhorses
CAT Dump Truck,1982,Yellow,1982 Workhorses
CAT Dump Truck,1992,Yellow,1982 Workhorses
CAT Dump Truck,1992,Yellow,1982 Workhorses
CAT Dump Truck,1996,Chrome W And Chrome Plastic Dump Bed,Silver Series II
CAT Dump Truck,1996,Chrome With Black Dump Bed,Silver Series II
CAT Dump Truck,1998,Yellow,Hot Wheels Action Machines
CAT Earth Mover,1989,Yellow,Workhorses
'64 Dodge 330,2007,Metallic Black,Since '68 - Muscle Cars
CAT Earth Mover,1989,Yellow,1989 Hot Wheels
CAT Earth Mover,1996,Yellow,1996
CAT Forklift,1980,Yellow,1980 Workhorses
CAT Forklift,1981,Yellow,1981 Workhorses
Forklift,1996,Yellow,1996 Hot Wheels
CAT Forklift,1997,Yellow,Little Debbie Series II
CAT Forklift,1997,White,1997 Hot Wheels
CAT Forklift,1997,White,1997 Hot Wheels
Fork Lift,2000,Orange,Virtual Collection Cars
Forklift,2001,Red,2001 Hot Wheels
CAT Road Roller,1987,Yellow,Workhorses
CAT Road Roller,1987,Yellow,Workhorses
CAT Road Roller,1989,Yellow,Workhorses
CAT Wheel Loader,1980,Yellow,1980 Workhorses
CAT Wheel Loader,1982,Yellow,1982 Workhorses
Wheel Loader,1998,Black,1998 Hot Wheels
Wheel Loader,2000,White,2000 Virtual Collection
Wheel Loader,2002,Metalflake Dark Red,Mainline
CAT Wheel Loader,2010,Black,Demolition Derby 5-Pack
CAT Wheel Loader,2011,Metalflake Green And Lime Green,HW City Works 5-Pack
Cabbin' Fever,2000,Black,2000 First Editions
Cabbin' Fever,2001,White,2001 Treasure Hunt Series
Cabbin' Fever,2001,Metalflake Green,2001 Hot Wheels
Cabbin' Fever,2001,Metalflake Green,HW 2001
Cabbin' Fever,2001,White,2001 Costco Exclusive
Cabbin' Fever,2002,Metalflake Blue,Hot Wheels - 35th Anniversary
Cabbin' Fever,2003,Black,Work Crewsers
Cadillac Cien,2003,Silver,2003 First Editions
Cadillac Escalade,2003,Metalflake Gray,2003 First Editions
Cadillac Escalade,2004,Green,Auto Affinity Boulevard Bruisers
Cadillac Escalade,2004,Black,Auto Affinity Boulevard Bruisers
Cadillac Escalade,2004,Pearl White,Whips Team Baurtwell New School
Cadillac Escalade,2004,Spectraflame Blue,Whips Team Baurtwell New School
Cadillac Escalade,2004,Metalflake Gold,Whips Team Baurtwell New School
Cadillac Escalade,2004,Metalflake Powder Blue,Whips Team Baurtwell New School
Cadillac Escalade,2004,Spectraflame Purple,Pit Pass Exclusive
Cadillac Escalade,2005,Metalflake Red,Rims Line
Cadillac Escalade EXT,2004,Metalflake Brown,Whips - West Coast Customs - New School
Cadillac Escalade EXT,2004,Orange,Whips - West Coast Customs - New School
Cadillac Escalade EXT,2004,Spectraflame Blue,Whips - West Coast Customs - New School
Cadillac Escalade EXT,2005,Pearl White,RIMs Series - TiS
Cadillac Escalade EXT,2005,Metalflake Black,RIMs Series - TiS
Cadillac Escalade EXT,2005,Metalflake Black,RIMs Deluxe - TiS
Cadillac Escalade EXT,2009,Pearl White,Holiday Hot Rods
Cadillac Escalade EXT,2009,Metalflake Gold,Holiday Hot Rods
Cadillac LMP,2001,Metalflake Silver,2001 First Editions
Cadillac LMP,2001,Matte Black,2001 Hot Wheels
Cadillac LMP,2001,Metalflake Silver,First Editions
Cadillac LMP,2003,Metalflake Silver,Hall Of Fame - Milestone Moments
Cadillac LMP,2008,Pearl White,Top Speed GT 5-Pack
Cadillac LMP,2011,Black,World Racers 5-Pack
Cadillac Seville,1982,Maroon & Gray,1982 Hot Wheels
Cadillac Seville,1982,Maroon & Gray,1982 Hot Wheels
Cadillac Seville,1983,Metalflake Gold,1983 Real Riders
Cadillac Seville,1982,Metalflake Gold,1982 Hot Wheels
Cadillac Seville,1986,Unpainted And Metal,1986 Hot Wheels
Cadillac Seville,1986,Metalflake Gold,1986 Hot Wheels
Cadillac Seville,1987,Metalflake Gold,1987 Hot Wheels
Cadillac Seville,1987,Metalflake Gold,1987 Hot Wheels
Callaway C7,1998,Silver,1998 First Editions
Callaway C7,1999,Green,X-Treme Speed Series
Callaway C7,1999,White,Coca-Cola Race Team
Callaway C7,2000,Metalflake Green,Snack Time Series
Callaway C7,2000,Metalflake Green,Snack Time Series
Callaway C7,2001,Black,Victory Lane 5-Pack
Callaway C7,2002,Blue,Sports 5-Pack
Callaway C7,2003,Metalflake Copper,Flamin' Hot Wheels
Callaway C7,2003,Silver,Hall Of Fame - Legends
Callaway C7,2011,Silver,Dale Jr. Collection
Camaro Convertible,1995,Metalflake Aqua,1995 Model Series
Camaro Convertible,1995,Metalflake Aqua,1995 Model Series
Camaro Convertible,1995,Metalflake Aqua,1995 Model Series
Camaro Convertible,1996,Red,1995 Model Series
Camaro Convertible,1996,Red,1995 Model Series
Camaro Convertible,1996,Red,1995 Model Series
Camaro Convertible,1995,Red,1995 Model Series
Camaro Convertible,1996,White,American Victory Set
Camaro Convertible,1996,Metalflake Black,Limited Edition - Black Convertible Collection
Camaro Convertible,1997,Metalflake Purple,30th Anniversary Of Camaro Collectible Line
'95 Camaro,1998,Blue,Sugar Rush Series
Camaro Convertible,1999,Black,1999 Hot Wheels
Camaro Convertible,1999,Black,1999 Hot Wheels
Camaro Convertible,1999,White,1999 Hot Wheels
Camaro Convertible,2000,Yellow,2000 Hot Wheels
Camaro Convertible,2000,White,Sports Stars 5-Pack
'95 Camaro Convertible,2000,White,HW 2000
'95 Camaro Convertible,2003,Metalflake Purple,Flamin' Hot Wheels
Camaro Wind,1986,Black,Flip Outs
Camaro Wind,1986,Metallic Dark Red,Flip Outs
Firebird,1990,Bright Yellow,California Customs
Camaro Wind,1993,Pink,Color Changers
Camaro Wind,1994,Chrome Plastic,Racing Team 5-Pack
Camaro Wind,1997,White,1997 Hot Wheels
Camaro Z-28,1982,White,1982 Hot Wheels
Camaro Z28,1982,Gray,Hot Ones
Camaro Z-28,1983,Metallic Gray,1983 Hot Wheels
Camaro Z-28,1984,Gold,Mattel Mail-in
Camaro Z28,1984,Metallic Red,The Hot Ones
Camaro Z-28,1985,White,Stamper 3-Pack
Camaro Z-28,1989,Red,Speed Fleet
Camaro Z-28,1989,Orange,Park 'n Plates
Camaro Z-28,1989,Orange,Park 'n Plates
Camaro Z-28,1989,White,Getty Gas Station Promotional
Camaro Z-28,1989,White,Double Barrel Stunt Set
Camaro Z-28,1989,White,Double Barrel Stunt Set
Camaro Z-28,1990,Purple,Limited Edition - Cereal Box Mail-In Promo
Camaro Z-28,1989,Purple,McDonalds Happy Meals
Camaro Z-28,1989,Orange,McDonalds Happy Meals
Camaro Z-28,1989,Red,1989 Hot Wheels
Camaro Z-28,1992,Blue,Track set
Camaro Z-28,1995,Bright Orange,Chevrolet 5-Pack
Camaro Z28,1995,Blue,Criss Cross Crash Track Set
Camaro Z-28,1995,Bright Orange,Chevrolet 5-Pack
Camaro Z-28,1996,Bright Orange,Chevrolet 5-Pack 1996 Hot Wheels
Camaro Z-28,1996,White,1996 Hot Wheels
Camaro Z-28,1996,White,1996 Hot Wheels
Camaro Z-28,1998,Flour Yellow,1998 Hot Wheels
Camaro Z-28,1998,Flour Yellow,1998 Hot Wheels
Camaro Z-28,1999,White,Alien Attack 5-Pack
Camaro Z-28,1999,Metalflake Blue,1999 Hot Wheels
Camaro Z-28,2000,Black,2000 Hot Wheels
Camaro Z28,2000,Silver,Mad Maniax Series
Camaro Z-28,2001,Red,Fossil Fuels Series
Camaro Z-28,2001,Purple,2001 Hot Wheels
Camaro Z-28,2002,Metalic Orange,X-Decades Set
Camaro Z-28,2005,Chrome,Shiners 5-Pack
Camaro Z28,2007,Blue,Terrordactyl 5-Pack
Cannonade,1981,Yellow,1981 Hot Wheels
Cannonade,1982,Yellow,1982 Hot Wheels
Cannonade,1983,Red,Hot Ones
Cannonade,1983,Metallic Silver,Snake Mountain Challenge Track Set Mattel Toy Club
Cannonade,1983,Metallic Silver,Snake Mountain Challenge Track Set Mattel Toy Club
Cannonade,1986,Maroon,1986 Hot Wheels
Hot Bird,1979,White,The Heroes
Hot Bird,1979,White,The Heroes
Hot Bird,1979,White,The Heroes
GMC Motor Home,1979,White,The Heroes
Carabo,1970,Spectraflame Blue,1970 Hot Wheels
Carabo,1970,Spectraflame Magenta,1970 Hot Wheels
Carabo,1970,Spectraflame Green,1970 Hot Wheels
Carabo,1970,Spectraflame Light Green,1970 Hot Wheels
Carabo,1970,Spectraflame Yellow,1970 Hot Wheels
Carabo,1970,Spectraflame Red,1970 Hot Wheels
Carabo,1970,Spectraflame Aqua,1970 Hot Wheels
Carabo,1970,Spectraflame Blue,1970 Hot Wheels
Carabo,1970,Spectraflame Magenta,1970 Hot Wheels
Carabo,1970,Spectraflame Magenta,1970 Hot Wheels
Carabo,1970,Spectraflame Rose,1970 Hot Wheels
Carabo,1970,Spectraflame Apple Green,1970 Hot Wheels
Carabo,1970,Spectraflame Yellow,1970 Hot Wheels
Carabo,1970,Spectraflame Hot Pink,1970 Hot Wheels
Carabo,1970,Spectraflame Blue,1970 Hot Wheels
Carabo,1970,Spectraflame Green,1970 Hot Wheels
Carabo,1970,Spectraflame Red,1970 Hot Wheels
Carabo,1970,Spectraflame Light Blue,1970 Hot Wheels
Carabo,1974,Light Green,Flying Colors
Carabo,1974,Yellow,Flying Colors
Carabo,1977,Green,Flying Colors
Carbide,2005,Flat Silver,AcceleRacers - Silencerz
Carbide,2006,Purple,AcceleRacers - Team Colors
Carbide,2006,Blue,Ultimate Track 3-Pack
Carbide,2006,Matte Dark Blue,Holiday Hotrods
Carbide,2008,Gold Chrome,Clover Cars
Cargoyle,1986,Orange,Speed Demons
Cargoyle,1986,Yellow,Speed Demons
Cargoyle,1994,Light Orange,Speed Demons 5-Pack
Cargoyle,1994,Purple-Pink,1994 Color FX
Cargoyle (Grizzlor),1996,White,1996 Hot Wheels
Grizzlor,1996,White,HW 1996
Cat-A-Pult,1998,Red,1998 First Editions
Cat-A-Pult,1998,Red,1998 First Editions
Cat-A-Pult,1999,Orange,Terrorific Series
Cat-A-Pult,2000,Green,Super Launcher 5-Pack
Cat-A-Pult,2003,Blue,Mainline
Cat-A-Pult,2003,Matte Brown,Heat Fleet 5-Pack
Cat-A-Pult,2004,White,Final Run Series
Cat-A-Pult,2004,White,Final Run Series
Cement Mixer,1970,Blue,Heavyweights
Cement Mixer,2010,Copper,HotWheelsCollectors.com Series 9
Cement Mixer,1997,Black,Construction Action Pack
Chaparral 2,1998,White,1998 First Editions
Chaparral 2,1999,Red,1999 Hot Wheels
Chaparral 2,2000,Dark Blue,2000 Treasure Hunt Series
Chaparral 2,2001,Metalflake Green,2001 Hot Wheels
Chaparral 2,2002,Yellow,Insectiride 5-Pack
Chaparral 2,2009,Metalflake Gold,Holiday Hot Rods
Chaparral 2,2009,Metalflake Light Green,Holiday Hot Rods 3-Pack
Chaparral 2D,2003,White,2003 First Editions
Chaparral 2G,1969,Spectraflame Aqua,Grand Prix
Chaparral 2G,1969,White,Grand Prix
Chaparral 2G,1969,Spectraflame Blue,Grand Prix
Chaparral 2G,1969,Spectraflame Red,Grand Prix
Chaparral 2G,1969,Spectraflame Brown,Grand Prix
Chaparral 2G,1969,Spectraflame Orange,Grand Prix
Chaparral 2G,1969,Spectraflame Green,Grand Prix
Chaparral 2G,1969,Spectraflame Gold,Grand Prix
Chaparral 2G,1969,Spectraflame Rose,Grand Prix
Chaparral 2G,1969,Spectraflame Olive,Grand Prix
Chaparral 2G,1969,Spectraflame Light Blue,Grand Prix
Chaparral 2G,1969,Spectraflame Lime,Grand Prix
Chaparral 2G,1969,Spectraflame Hot Pink,Grand Prix
Chaparral 2G,1969,Spectraflame Purple,Grand Prix
Chaparral 2G,1969,Spectraflame Yellow,Grand Prix
Chaparral 2G,1969,Spectraflame Magenta,Grand Prix
Chaparral 2G,1969,Spectraflame Antifreeze,Grand Prix
Chaparral 2G,1969,Spectraflame Apple Green,Grand Prix
Chaparral 2G,1969,Spectraflame Aqua,Grand Prix
Chaparral 2G,1969,Spectraflame Red,Grand Prix
Chaparral 2G,1969,Spectraflame Blue,Grand Prix
Chaparral 2G,1969,Spectraflame Green,Grand Prix
Chaparral 2G,1969,Spectraflame Olive,Grand Prix
Chevrolet Camaro Convertible,2011,Red,L.A. Auto Show Edition
Chevrolet Camaro Convertible,2011,Burnt Orange,Chicago Auto Show Edition
Chevrolet Corvette,1996,Dark Green,1996 Hot Wheels
Chevrolet Corvette,1996,Dark Green,1996
Chevrolet Corvette,1996,White,100th Anniversary
Chevrolet Corvette,1996,Black,FAO Schwarz Gold Series III
'80s Corvette,1997,Red,Limited Edition - Chuck E. Cheese Promo
Chevy 1500,1996,Gray,1996 First Editions
Chevy 1500,1996,Gray,1996 First Editions
Chevy 1500,1996,Metallic Blue,Thunder Trucks 4-Pack
Chevy 1500,1996,Black,Thunder Trucks 4-Pack
Chevy 1500,1997,Metallic Blue,Race Team Series III
Chevy 1500,1997,Metallic Blue,Race Team Series III
Chevy 1500,1998,Gray,1998 Hot Wheels
Chevy 1500,1999,Orange,Criss Cross Crash 5-Pack
Chevy Pick-Up,2001,Yellow,2001 Hot Wheels
Chevy Pick-Up,2001,Yellow,2001 Hot Wheels
Chevy 1500,2003,Brick Red,2003 Hot Wheels
Chevy 1500,2005,Chrome,Shiners 5-Pack
Chevy Citation,1981,White,1981 Hot Wheels
Chevy Citation,1981,Red,1981 Hot Wheels
Chevy Citation,1981,Lime Green Metalflake,Preproduction Prototype
Chevy Citation,1982,White,1982 Hot Wheels
Chevy Citation,1982,Yellow,1982 Hot Wheels
Chevy Citation,1983,Metallic Brown,Hot Ones
Chevy Lumina,1992,Red,1992 Hot Wheels
Chevy Lumina,1992,Red,1991 Hot Wheels
Lumina Minivan,1995,Yellow,1995 Hot Wheels
Lumina Minivan,1995,Yellow,1995 Hot Wheels
Lumina Minivan,1998,Metallic Green,1998 Hot Wheels
Lumina Minivan,1998,Metalflake Green,1998 Hot Wheels
Chevy Monza 2+2,1975,Light Green,Flying Colors
Chevy Monza 2+2,1975,Orange,Flying Colors
Chevy Monza 2+2,1975,Chrome,MMA '75
Chevy Monza 2+2,1976,Chrome,Super Chromes
Chevy Monza 2+2,1977,Chrome,Super Chromes
Chevy Monza 2+2,1983,Orange,International
Chevy Monza 2+2,1983,Orange,International
Chevy Monza 2+2,1984,Orange,International
Chevy Monza 2+2,1985,Beige,International
Chevy Monza 2+2,1985,Beige,International
Chevy Monza 2+2,1986,Beige,International
Chevy Monza 2+2,1987,Beige,International
Chevy Monza 2+2,1987,Orange,International
